"subject_id" "run" "group" "flanker_congruency" "mean_rt"
"1" "1_out" "0T" "cong" 420.162162162162
"1" "1_out" "0T" "incong" 540.4375
"1" "2_in" "0T" "cong" 453.567567567568
"1" "2_in" "0T" "incong" 537.151515151515
"1" "3_in_noise" "0T" "cong" 444.405405405405
"1" "3_in_noise" "0T" "incong" 511.666666666667
"1" "4_out" "0T" "cong" 392.783783783784
"1" "4_out" "0T" "incong" 493.176470588235
"2" "1_out" "0T" "cong" 522.529411764706
"2" "1_out" "0T" "incong" 647
"2" "2_in" "0T" "cong" 531.205882352941
"2" "2_in" "0T" "incong" 662.40625
"2" "3_in_noise" "0T" "cong" 492.914285714286
"2" "3_in_noise" "0T" "incong" 599.5
"2" "4_out" "0T" "cong" 468.030303030303
"2" "4_out" "0T" "incong" 630.59375
"3" "1_out" "0T" "cong" 461.25
"3" "1_out" "0T" "incong" 601.235294117647
"3" "2_in" "0T" "cong" 516.555555555556
"3" "2_in" "0T" "incong" 677.147058823529
"3" "3_in_noise" "0T" "cong" 472.243243243243
"3" "3_in_noise" "0T" "incong" 600.029411764706
"3" "4_out" "0T" "cong" 411.405405405405
"3" "4_out" "0T" "incong" 538.085714285714
"4" "1_out" "0T" "cong" 567.771428571429
"4" "1_out" "0T" "incong" 779.676470588235
"4" "2_in" "0T" "cong" 575.783783783784
"4" "2_in" "0T" "incong" 854.176470588235
"4" "3_in_noise" "0T" "cong" 544.594594594595
"4" "3_in_noise" "0T" "incong" 875.24
"4" "4_out" "0T" "cong" 471.594594594595
"4" "4_out" "0T" "incong" 776.7
"5" "1_out" "0T" "cong" 537
"5" "1_out" "0T" "incong" 637.714285714286
"5" "2_in" "0T" "cong" 507.486486486487
"5" "2_in" "0T" "incong" 614.757575757576
"5" "3_in_noise" "0T" "cong" 507.891891891892
"5" "3_in_noise" "0T" "incong" 577.333333333333
"5" "4_out" "0T" "cong" 492.702702702703
"5" "4_out" "0T" "incong" 622.121212121212
"6" "1_out" "0T" "cong" 422.297297297297
"6" "1_out" "0T" "incong" 517.411764705882
"6" "2_in" "0T" "cong" 520.324324324324
"6" "2_in" "0T" "incong" 662.181818181818
"6" "3_in_noise" "0T" "cong" 486.351351351351
"6" "3_in_noise" "0T" "incong" 616.969696969697
"6" "4_out" "0T" "cong" 451.567567567568
"6" "4_out" "0T" "incong" 540.878787878788
"7" "1_out" "0T" "cong" 501.513513513513
"7" "1_out" "0T" "incong" 654.30303030303
"7" "2_in" "0T" "cong" 533.378378378378
"7" "2_in" "0T" "incong" 725.433333333333
"7" "3_in_noise" "0T" "cong" 527.702702702703
"7" "3_in_noise" "0T" "incong" 712.485714285714
"7" "4_out" "0T" "cong" 504.891891891892
"7" "4_out" "0T" "incong" 636.285714285714
"8" "1_out" "0T" "cong" 405.222222222222
"8" "1_out" "0T" "incong" 518.655172413793
"8" "2_in" "0T" "cong" 457.567567567568
"8" "2_in" "0T" "incong" 529.171428571429
"8" "3_in_noise" "0T" "cong" 438.485714285714
"8" "3_in_noise" "0T" "incong" 530.30303030303
"8" "4_out" "0T" "cong" 411.108108108108
"8" "4_out" "0T" "incong" 540.852941176471
"9" "1_out" "0T" "cong" 608.432432432432
"9" "1_out" "0T" "incong" 787.777777777778
"9" "2_in" "0T" "cong" 638.189189189189
"9" "2_in" "0T" "incong" 861.8
"9" "3_in_noise" "0T" "cong" 624.702702702703
"9" "3_in_noise" "0T" "incong" 883.551724137931
"9" "4_out" "0T" "cong" 568.611111111111
"9" "4_out" "0T" "incong" 786.290322580645
"10" "1_out" "0T" "cong" 426
"10" "1_out" "0T" "incong" 491.1875
"10" "2_in" "0T" "cong" 430.783783783784
"10" "2_in" "0T" "incong" 476.147058823529
"10" "3_in_noise" "0T" "cong" 432.72972972973
"10" "3_in_noise" "0T" "incong" 495.212121212121
"10" "4_out" "0T" "cong" 429.783783783784
"10" "4_out" "0T" "incong" 473.875
"11" "1_out" "0T" "cong" 461.945945945946
"11" "1_out" "0T" "incong" 582.233333333333
"11" "2_in" "0T" "cong" 532.594594594595
"11" "2_in" "0T" "incong" 724.129032258065
"11" "3_in_noise" "0T" "cong" 485.361111111111
"11" "3_in_noise" "0T" "incong" 708.161290322581
"11" "4_out" "0T" "cong" 474.513513513513
"11" "4_out" "0T" "incong" 576.117647058824
"12" "1_out" "0T" "cong" 432.054054054054
"12" "1_out" "0T" "incong" 557.34375
"12" "2_in" "0T" "cong" 466.378378378378
"12" "2_in" "0T" "incong" 601.6875
"12" "3_in_noise" "0T" "cong" 466.594594594595
"12" "3_in_noise" "0T" "incong" 641.088235294118
"12" "4_out" "0T" "cong" 420.621621621622
"12" "4_out" "0T" "incong" 546.764705882353
"13" "1_out" "0T" "cong" 585.756756756757
"13" "1_out" "0T" "incong" 616.257142857143
"13" "2_in" "0T" "cong" 518.722222222222
"13" "2_in" "0T" "incong" 579.30303030303
"13" "3_in_noise" "0T" "cong" 482.142857142857
"13" "3_in_noise" "0T" "incong" 562.823529411765
"13" "4_out" "0T" "cong" 492.945945945946
"13" "4_out" "0T" "incong" 577.257142857143
"14" "1_out" "0T" "cong" 422.189189189189
"14" "1_out" "0T" "incong" 628.34375
"14" "2_in" "0T" "cong" 433.324324324324
"14" "2_in" "0T" "incong" 580.592592592593
"14" "3_in_noise" "0T" "cong" 448.837837837838
"14" "3_in_noise" "0T" "incong" 593.333333333333
"14" "4_out" "0T" "cong" 403.216216216216
"14" "4_out" "0T" "incong" 565.848484848485
"15" "1_out" "0T" "cong" 737.972972972973
"15" "1_out" "0T" "incong" 779.558823529412
"15" "2_in" "0T" "cong" 696.722222222222
"15" "2_in" "0T" "incong" 755.852941176471
"15" "3_in_noise" "0T" "cong" 682.972972972973
