"subject_id","run","group","mean_rt"
"1","1_out","0T",475.942028985507
"1","2_in","0T",492.971428571429
"1","3_in_noise","0T",476.114285714286
"1","4_out","0T",440.859154929577
"2","1_out","0T",583.835820895522
"2","2_in","0T",594.818181818182
"2","3_in_noise","0T",540.285714285714
"2","4_out","0T",548.061538461538
"3","1_out","0T",529.242857142857
"3","2_in","0T",594.557142857143
"3","3_in_noise","0T",533.43661971831
"3","4_out","0T",472.986111111111
"4","1_out","0T",672.188405797101
"4","2_in","0T",709.098591549296
"4","3_in_noise","0T",677.91935483871
"4","4_out","0T",608.208955223881
"5","1_out","0T",585.958333333333
"5","2_in","0T",558.057142857143
"5","3_in_noise","0T",538.985074626866
"5","4_out","0T",553.714285714286
"6","1_out","0T",467.845070422535
"6","2_in","0T",587.2
"6","3_in_noise","0T",547.928571428571
"6","4_out","0T",493.671428571429
"7","1_out","0T",573.542857142857
"7","2_in","0T",619.373134328358
"7","3_in_noise","0T",617.527777777778
"7","4_out","0T",568.763888888889
"8","1_out","0T",455.830769230769
"8","2_in","0T",492.375
"8","3_in_noise","0T",483.044117647059
"8","4_out","0T",473.239436619718
"9","1_out","0T",684.09375
"9","2_in","0T",728.354838709677
"9","3_in_noise","0T",738.439393939394
"9","4_out","0T",669.328358208955
"10","1_out","0T",456.231884057971
"10","2_in","0T",452.507042253521
"10","3_in_noise","0T",462.185714285714
"10","4_out","0T",450.231884057971
"11","1_out","0T",515.805970149254
"11","2_in","0T",619.911764705882
"11","3_in_noise","0T",588.44776119403
"11","4_out","0T",523.169014084507
"12","1_out","0T",490.159420289855
"12","2_in","0T",529.130434782609
"12","3_in_noise","0T",550.154929577465
"12","4_out","0T",481.028169014084
"13","1_out","0T",600.583333333333
"13","2_in","0T",547.695652173913
"13","3_in_noise","0T",521.898550724638
"13","4_out","0T",533.930555555556
"14","1_out","0T",517.797101449275
"14","2_in","0T",495.453125
"14","3_in_noise","0T",513.537313432836
"14","4_out","0T",479.885714285714
"15","1_out","0T",757.887323943662
"15","2_in","0T",725.442857142857
"15","3_in_noise","0T",712.971830985916
"15","4_out","0T",651.732394366197
"16","1_out","0T",480.073529411765
"16","2_in","0T",537.236111111111
"16","3_in_noise","0T",491.313432835821
"16","4_out","0T",479.680555555556
"18","1_out","0T",519.142857142857
"18","2_in","0T",571.25
"18","3_in_noise","0T",559.657142857143
"18","4_out","0T",504.605633802817
"19","1_out","0T",524.5
"19","2_in","0T",577.611111111111
